Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,num_reviews,num_purchases,review_text,sentiment_score,sentiment_labels,sentiment
0,90420332,Modern FREKVENS,Bar furniture,274.93428306022463,No old price,True,https://www.ikea.com/sa/en/p/frekvens-bar-table-in-outdoor-black-90420332/,No,"        Bar table, in/outdoor,          51x51 cm",Nicholai Wiig Hansen,,99.0,51.0,35,2303,"[""Not bad, but assembly took longer than expected."", ""Best Modern ever. Comfortable and easy to use."", ""Perfect for hallway. Well-made and durable. 5 stars!""]",0.5765666666666668,"[0.2323, 0.886, 0.6114]",positive
1,368814,Modern NORDVIKEN,Bar furniture,992.2347139765764,No old price,False,https://www.ikea.com/sa/en/p/nordviken-bar-table-black-00368814/,No,"        Bar table,          140x80 cm",Francis Cayouette,,105.0,80.0,614,3506,"[""Love this Modern! Super comfortable and stylish."", ""Best Modern ever. Comfortable and easy to use."", ""Great value for money. Easy to assemble and looks amazing in my office.""]",0.9070333333333332,"[0.9134, 0.886, 0.9217]",positive
2,9333523,Modern NORDVIKEN / NORDVIKEN,Bar furniture,2000.0,No old price,False,https://www.ikea.com/sa/en/p/nordviken-nordviken-bar-table-and-4-bar-stools-black-black-s09333523/,No,        Bar table and 4 bar stools,Francis Cayouette,,,,584,1678,"[""Poor quality materials. Fell apart after a week."", ""Too expensive for what it is."", ""Not bad, but assembly took longer than expected.""]",-0.08146666666666667,"[-0.4767, 0.0, 0.2323]",negative
3,80155205,Modern STIG,Bar furniture,99.46059712816052,No old price,True,https://www.ikea.com/sa/en/p/stig-bar-stool-with-backrest-black-silver-colour-80155205/,Yes,"        Bar stool with backrest,          74 cm",Henrik Preutz,50.0,100.0,60.0,787,1357,"[""Too expensive for what it is."", ""Excellent purchase! Fits perfectly and very practical."", ""Disappointed with the color \u2013 not as shown.""]",0.12369999999999999,"[0.0, 0.8478, -0.4767]",positive
4,30180504,Luxury NORBERG,Bar furniture,220.3169325055333,No old price,True,https://www.ikea.com/sa/en/p/norberg-wall-mounted-drop-leaf-table-white-30180504/,No,"        Wall-mounted drop-leaf table,          74x60 cm",Marcus Arvonen,60.0,43.0,74.0,114,809,"[""Too expensive for what it is."", ""Great value for money. Easy to assemble and looks amazing in my kitchen."", ""Excellent purchase! Fits perfectly and very practical.""]",0.5898333333333333,"[0.0, 0.9217, 0.8478]",positive
5,10122647,Luxury INGOLF,Bar furniture,340.3172608610164,No old price,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-10122647/,No,"        Bar stool with backrest,          63 cm",Carina Bengs,45.0,91.0,40.0,836,405,"[""Amazing! Transformed my bathroom. Will buy more."", ""Poor quality materials. Fell apart after a week."", ""Great value for money. Easy to assemble and looks amazing in my office.""]",0.3563,"[0.6239, -0.4767, 0.9217]",positive
6,70404875,Luxury FRANKLIN,Bar furniture,160.58425631014782,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-70404875/,No,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44.0,95.0,50.0,859,3012,"[""Best Luxury ever. Comfortable and easy to use."", ""Not bad, but assembly took longer than expected."", ""Great value for money. Easy to assemble and looks amazing in my living room.""]",0.68,"[0.886, 0.2323, 0.9217]",positive
7,60155602,Luxury DALFRED,Bar furniture,210.34869458305815,No old price,True,https://www.ikea.com/sa/en/p/dalfred-bar-stool-black-60155602/,No,"        Bar stool,          63-74 cm",Sarah Fager,50.0,,50.0,91,1957,"[""Great value for money. Easy to assemble and looks amazing in my bathroom."", ""Too expensive for what it is."", ""Disappointed with the color \u2013 not as shown.""]",0.14833333333333332,"[0.9217, 0.0, -0.4767]",positive
8,50406465,Luxury FRANKLIN,Bar furniture,119.61051228130096,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-50406465/,No,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44.0,95.0,50.0,176,3082,"[""Excellent purchase! Fits perfectly and very practical."", ""Not bad, but assembly took longer than expected."", ""Disappointed with the color \u2013 not as shown.""]",0.20113333333333336,"[0.8478, 0.2323, -0.4767]",positive
9,69304221,Modern EKEDALEN / EKEDALEN,Bar furniture,2000.0,"SR 2,375",True,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-dark-brown-orrsta-light-grey-s69304221/,No,        Bar table and 4 bar stools,Ehlén Johansson,,,,633,1451,"[""Poor quality materials. Fell apart after a week."", ""Not bad, but assembly took longer than expected."", ""Perfect for kitchen. Well-made and durable. 5 stars!""]",0.12233333333333335,"[-0.4767, 0.2323, 0.6114]",positive
10,90404879,Classic FRANKLIN,Bar furniture,139.73164614375077,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-90404879/,No,"        Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,44.0,103.0,52.0,711,2706,"[""Love this Classic! Super comfortable and stylish."", ""Not bad, but assembly took longer than expected."", ""Best Classic ever. Comfortable and easy to use.""]",0.6772333333333332,"[0.9134, 0.2323, 0.886]",positive
11,121766,Luxury INGOLF,Bar furniture,385.6854049285948,No old price,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-00121766/,No,"        Bar stool with backrest,          74 cm",Carina Bengs,45.0,102.0,40.0,77,1778,"[""Best Luxury ever. Comfortable and easy to use."", ""Excellent purchase! Fits perfectly and very practical."", ""Not bad, but assembly took longer than expected.""]",0.6553666666666667,"[0.886, 0.8478, 0.2323]",positive
12,397736,Compact NORRARYD,Bar furniture,399.8392454313207,No old price,True,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,No,"        Bar stool with backrest,          74 cm",Nike Karlsson,47.0,103.0,46.0,156,2219,"[""Perfect for hallway. Well-made and durable. 5 stars!"", ""Not bad, but assembly took longer than expected."", ""Disappointed with the color \u2013 not as shown.""]",0.12233333333333336,"[0.6114, 0.2323, -0.4767]",positive
13,50420329,Compact FREKVENS,Bar furniture,138.73439510684403,SR 295,True,https://www.ikea.com/sa/en/p/frekvens-bar-stool-with-backrest-in-outdoor-black-50420329/,No,"        Bar stool with backrest, in/outdoor,          74 cm",Nicholai Wiig Hansen,53.0,104.0,43.0,380,1846,"[""Perfect for bedroom. Well-made and durable. 5 stars!"", ""Poor quality materials. Fell apart after a week."", ""Amazing! Transformed my bedroom. Will buy more.""]",0.2528666666666667,"[0.6114, -0.4767, 0.6239]",positive
14,400550,Modern EKEDALEN,Bar furniture,310.50164334973937,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-brown-orrsta-light-grey-00400550/,No,"        Bar stool with backrest,          75 cm",Ehlén Johansson,52.0,114.0,43.0,166,1360,"[""Too expensive for what it is."", ""Great value for money. Easy to assemble and looks amazing in my office."", ""Best Modern ever. Comfortable and easy to use.""]",0.6025666666666667,"[0.0, 0.9217, 0.886]",positive
